checked_at,code,name,status,daily_limit,subscription_amount,sip_status,source_url,error
2026-07-15 23:38,000834,大成纳斯达克100ETF联接(QDII)A,限大额申购,10,10,支持（10元起）,https://fundf10.eastmoney.com/jjjz_000834.html,
2026-07-15 23:38,019172,摩根纳斯达克100指数(QDII)人民币A,限大额申购,10,10,支持（10元起）,https://fundf10.eastmoney.com/jjjz_019172.html,
2026-07-15 23:38,019524,华泰柏瑞纳斯达克100ETF发起式联接(QDII)A,限大额申购,10,10,支持（10元起）,https://fundf10.eastmoney.com/jjjz_019524.html,
2026-07-15 23:38,018966,汇添富纳斯达克100ETF发起式联接(QDII)人民币A,限大额申购,50,50,支持（10元起）,https://fundf10.eastmoney.com/jjjz_018966.html,
2026-07-15 23:38,539001,建信纳斯达克100指数(QDII)A人民币,限大额申购,100,100,支持（10元起）,https://fundf10.eastmoney.com/jjjz_539001.html,
2026-07-15 23:38,019547,招商纳斯达克100ETF发起式联接(QDII)A,限大额申购,10,10,支持（10元起）,https://fundf10.eastmoney.com/jjjz_019547.html,
2026-07-15 23:38,019441,万家纳斯达克100指数(QDII)A,限大额申购,10,10,支持（10元起）,https://fundf10.eastmoney.com/jjjz_019441.html,
2026-07-15 23:38,270042,广发纳斯达克100ETF联接(QDII)A人民币,限大额申购,10,10,支持（10元起）,https://fundf10.eastmoney.com/jjjz_270042.html,
2026-07-15 23:38,040046,华安纳斯达克100ETF联接(QDII)A,限大额申购,10,10,支持（10元起）,https://fundf10.eastmoney.com/jjjz_040046.html,
2026-07-15 23:38,016452,南方纳斯达克100指数发起(QDII)A,限大额申购,10,10,支持（10元起）,https://fundf10.eastmoney.com/jjjz_016452.html,
